Subspace,Breakdown,Ce,Insight_type,Sig,Imp,Score,Key,Value
"{Year: 2007, Brand: *, Category: *}",Category,"[(SUM, Sales), (avg, Category)]",Point,1.0,0.23013,0.23013,"['SUV', 'Midsize', 'Subcompact', 'Compact', 'Pickup', 'Sporty', 'Fullsize', 'MPV']","[993744.875, 626701.875, 314483.875, -38361.125, -328778.125, -464120.125, -486768.125, -616903.125]"
"{Year: 2007, Brand: *, Category: *}",Category,"[(SUM, Sales), (rank, Year)]",Point,1.0,0.23013,0.23013,"['MPV', 'Compact', 'Subcompact', 'Fullsize', 'Midsize', 'Sporty', 'SUV', 'Pickup']","[5, 2, 2, 1, 1, 1, 1, 1]"
"{Year: 2007, Brand: *, Category: *}",Category,"[(SUM, Sales), (rank, Category)]",Point,1.0,0.23013,0.23013,"['MPV', 'Fullsize', 'Sporty', 'Pickup', 'Compact', 'Subcompact', 'Midsize', 'SUV']","[8, 7, 6, 5, 4, 3, 2, 1]"
"{Year: 2007, Brand: *, Category: *}",Brand,"[(SUM, Sales), (avg, Brand)]",Point,1.0,0.23013,0.23013,"['Toyota', 'Ford', 'Honda', 'GMC', 'Hyundai', 'BMW', 'Mazda', 'Volkswagen']","[690275.875, 573658.875, 403515.875, -205960.125, -229376.125, -323259.125, -395363.125, -513492.125]"
"{Year: 2007, Brand: *, Category: *}",Brand,"[(SUM, Sales), (rank, Year)]",Point,0.99999,0.23013,0.23013,"['Hyundai', 'Volkswagen', 'Ford', 'BMW', 'GMC', 'Honda', 'Mazda', 'Toyota']","[3, 3, 2, 1, 1, 1, 1, 1]"
"{Year: 2007, Brand: *, Category: *}",Brand,"[(SUM, Sales), (%, Year)]",Point,0.99999,0.23013,0.23013,"['BMW', 'GMC', 'Toyota', 'Honda', 'Mazda', 'Ford', 'Volkswagen', 'Hyundai']","[0.2517, 0.2513, 0.2501, 0.2334, 0.2311, 0.2194, 0.2084, 0.1801]"
"{Year: *, Brand: Ford, Category: *}",Year,"[(SUM, Sales), (avg, Brand)]",Point,0.82770,0.25041,0.20727,"['2011', '2007', '2010', '2008', '2009']","[738249.875, 573658.875, 534485.875, 466048.875, 436976.5]"
"{Year: 2008, Brand: *, Category: *}",Brand,"[(SUM, Sales), (%, Brand)]",Point,1.0,0.20394,0.20394,"['Toyota', 'Ford', 'Honda', 'Hyundai', 'GMC', 'BMW', 'Mazda', 'Volkswagen']","[0.2647, 0.2292, 0.2272, 0.0788, 0.0737, 0.0557, 0.0478, 0.0229]"
"{Year: 2008, Brand: *, Category: *}",Category,"[(SUM, Sales), (%, Category)]",Point,1.0,0.20394,0.20394,"['SUV', 'Midsize', 'Subcompact', 'Compact', 'Pickup', 'Sporty', 'Fullsize', 'MPV']","[0.2797, 0.2695, 0.2205, 0.1182, 0.0558, 0.0261, 0.0254, 0.0049]"
"{Year: 2008, Brand: *, Category: *}",Brand,"[(SUM, Sales), (avg, Year)]",Point,1.0,0.20394,0.20394,"['Honda', 'Toyota', 'Mazda', 'BMW', 'GMC', 'Volkswagen', 'Ford', 'Hyundai']","[129312.80000000005, 126906.19999999995, 10007.200000000012, 4913.799999999988, -8546.799999999988, -10011.800000000003, -73012.19999999995, -92985.79999999999]"
